-- ================================================
-- 🔥 AIMBOT PRO v12 - FATALITY EDITION (FINAL)
-- ✅ All Features + New Crosshair System
-- ✅ Hexagon, Star, Square, Dot, Heart Crosshairs
-- ✅ Crosshair Size, Thickness, Opacity Controls
-- ✅ GUI Size Adjustment + Toggle Lock
-- ================================================

-- ========== SERVICES ==========
local Players = game:GetService("Players")
local RunService = game:GetService("RunService")
local UserInputService = game:GetService("UserInputService")
local TweenService = game:GetService("TweenService")
local Lighting = game:GetService("Lighting")
local HttpService = game:GetService("HttpService")
local CoreGui = game:GetService("CoreGui")
local Stats = game:GetService("Stats")

local LocalPlayer = Players.LocalPlayer
local Camera = workspace.CurrentCamera
local Mouse = LocalPlayer:GetMouse()

local function SafeSet(prop, value)
RadarCross2.BorderSizePixel = 0
RadarCross2.ZIndex = 101
RadarCross2.Parent = RadarFrame
local RadarCenter = Instance.new("Frame")
RadarCenter.Size = UDim2.new(0, 6, 0, 6)
RadarCenter.Position = UDim2.new(0.5, -3, 0.5, -3)
RadarCenter.BackgroundColor3 = Color3.fromRGB(0, 255, 0)
RadarCenter.BorderSizePixel = 0
RadarCenter.ZIndex = 102
RadarCenter.Parent = RadarFrame
Instance.new("UICorner", RadarCenter).CornerRadius = UDim.new(1, 0)

local RadarDots = {}
local function GetRadarDot(player)
    if not RadarDots[player] then
        local d = Instance.new("Frame")
        d.Size = UDim2.new(0, 6, 0, 6)
        d.BackgroundColor3 = C3(Settings.ESPColor)
        d.BorderSizePixel = 0
        d.ZIndex = 102
        d.Parent = RadarFrame
        Instance.new("UICorner", d).CornerRadius = UDim.new(1, 0)
        RadarDots[player] = d
    end
    return RadarDots[player]
end

-- ========== HUD ELEMENTS ==========
local StatsHUD = Instance.new("Frame")
StatsHUD.Size = UDim2.new(0, 160, 0, 90)
StatsHUD.Position = UDim2.new(0, 20, 1, -110)
StatsHUD.BackgroundColor3 = Color3.fromRGB(15, 8, 30)
StatsHUD.BackgroundTransparency = 0.3
StatsHUD.BorderSizePixel = 0
StatsHUD.Visible = false
StatsHUD.ZIndex = 100
StatsHUD.Parent = ScreenGui
Instance.new("UICorner", StatsHUD).CornerRadius = UDim.new(0, 8)
Instance.new("UIStroke", StatsHUD).Color = Color3.fromRGB(180, 100, 255)

local FPSLabel = Instance.new("TextLabel")
FPSLabel.Size = UDim2.new(1, -12, 0, 20)
FPSLabel.Position = UDim2.new(0, 6, 0, 4)
FPSLabel.BackgroundTransparency = 1
FPSLabel.Text = "FPS: 0"
FPSLabel.TextColor3 = Color3.fromRGB(80, 255, 120)
FPSLabel.TextSize = 12
FPSLabel.Font = Enum.Font.GothamBold
FPSLabel.TextXAlignment = Enum.TextXAlignment.Left
FPSLabel.ZIndex = 101
FPSLabel.Parent = StatsHUD

local MSLabel = Instance.new("TextLabel")
MSLabel.Size = UDim2.new(1, -12, 0, 20)
MSLabel.Position = UDim2.new(0, 6, 0, 26)
MSLabel.BackgroundTransparency = 1
MSLabel.Text = "MS: 0"
MSLabel.TextColor3 = Color3.fromRGB(255, 200, 80)
MSLabel.TextSize = 12
MSLabel.Font = Enum.Font.GothamBold
MSLabel.TextXAlignment = Enum.TextXAlignment.Left
MSLabel.ZIndex = 101
MSLabel.Parent = StatsHUD

local PingLabel = Instance.new("TextLabel")
PingLabel.Size = UDim2.new(1, -12, 0, 20)
PingLabel.Position = UDim2.new(0, 6, 0, 48)
PingLabel.BackgroundTransparency = 1
PingLabel.Text = "Ping: 0"
PingLabel.TextColor3 = Color3.fromRGB(255, 120, 200)
PingLabel.TextSize = 12
PingLabel.Font = Enum.Font.GothamBold
PingLabel.TextXAlignment = Enum.TextXAlignment.Left
PingLabel.ZIndex = 101
PingLabel.Parent = StatsHUD

-- Compass
local CompassFrame = Instance.new("Frame")
CompassFrame.Size = UDim2.new(0, 300, 0, 30)
CompassFrame.Position = UDim2.new(0.5, -150, 0, 10)
CompassFrame.BackgroundColor3 = Color3.fromRGB(15, 8, 30)
CompassFrame.BackgroundTransparency = 0.4
CompassFrame.BorderSizePixel = 0
CompassFrame.Visible = false
CompassFrame.ZIndex = 100
CompassFrame.ClipsDescendants = true
CompassFrame.Parent = ScreenGui
Instance.new("UICorner", CompassFrame).CornerRadius = UDim.new(0, 6)
Instance.new("UIStroke", CompassFrame).Color = Color3.fromRGB(180, 100, 255)

local CompassLabel = Instance.new("TextLabel")
CompassLabel.Size = UDim2.new(1, 0, 1, 0)
CompassLabel.BackgroundTransparency = 1
CompassLabel.Text = "N"
CompassLabel.TextColor3 = Color3.fromRGB(255, 255, 255)
CompassLabel.TextSize = 14
CompassLabel.Font = Enum.Font.GothamBold
CompassLabel.ZIndex = 101
CompassLabel.Parent = CompassFrame

-- Nearby Enemy Alert
local NearbyAlert = Instance.new("Frame")
NearbyAlert.Size = UDim2.new(0, 200, 0, 40)
NearbyAlert.Position = UDim2.new(0.5, -100, 0, 50)
NearbyAlert.BackgroundColor3 = Color3.fromRGB(50, 10, 10)
NearbyAlert.BackgroundTransparency = 0.3
NearbyAlert.BorderSizePixel = 0
NearbyAlert.Visible = false
NearbyAlert.ZIndex = 100
NearbyAlert.Parent = ScreenGui
Instance.new("UICorner", NearbyAlert).CornerRadius = UDim.new(0, 8)
local NearbyStroke = Instance.new("UIStroke", NearbyAlert)
NearbyStroke.Color = Color3.fromRGB(255, 50, 50)
NearbyStroke.Thickness = 2
local NearbyLabel = Instance.new("TextLabel")
NearbyLabel.Size = UDim2.new(1, 0, 1, 0)
NearbyLabel.BackgroundTransparency = 1
NearbyLabel.Text = "⚠ ENEMY NEARBY"
NearbyLabel.TextColor3 = Color3.fromRGB(255, 100, 100)
NearbyLabel.TextSize = 13
NearbyLabel.Font = Enum.Font.GothamBold
NearbyLabel.ZIndex = 101
NearbyLabel.Parent = NearbyAlert

-- TP Cooldown
local TPCooldownFrame = Instance.new("Frame")
TPCooldownFrame.Size = UDim2.new(0, 140, 0, 32)
TPCooldownFrame.Position = UDim2.new(0, 20, 0, 20)
TPCooldownFrame.BackgroundColor3 = Color3.fromRGB(15, 8, 30)
TPCooldownFrame.BackgroundTransparency = 0.3
TPCooldownFrame.BorderSizePixel = 0
TPCooldownFrame.Visible = false
TPCooldownFrame.ZIndex = 100
TPCooldownFrame.Parent = ScreenGui
Instance.new("UICorner", TPCooldownFrame).CornerRadius = UDim.new(0, 6)
Instance.new("UIStroke", TPCooldownFrame).Color = Color3.fromRGB(180, 100, 255)
local TPCooldownLabel = Instance.new("TextLabel")
TPCooldownLabel.Size = UDim2.new(1, 0, 1, 0)
TPCooldownLabel.BackgroundTransparency = 1
TPCooldownLabel.Text = "TP: Ready"
TPCooldownLabel.TextColor3 = Color3.fromRGB(80, 255, 120)
TPCooldownLabel.TextSize = 12
TPCooldownLabel.Font = Enum.Font.GothamBold
TPCooldownLabel.ZIndex = 101
TPCooldownLabel.Parent = TPCooldownFrame

-- Inv Full Warning
local InvFullFrame = Instance.new("Frame")
InvFullFrame.Size = UDim2.new(0, 200, 0, 32)
InvFullFrame.Position = UDim2.new(0, 20, 0, 60)
InvFullFrame.BackgroundColor3 = Color3.fromRGB(50, 30, 10)
InvFullFrame.BackgroundTransparency = 0.3
InvFullFrame.BorderSizePixel = 0
InvFullFrame.Visible = false
InvFullFrame.ZIndex = 100
InvFullFrame.Parent = ScreenGui
Instance.new("UICorner", InvFullFrame).CornerRadius = UDim.new(0, 6)
Instance.new("UIStroke", InvFullFrame).Color = Color3.fromRGB(255, 180, 50)
local InvFullLabel = Instance.new("TextLabel")
InvFullLabel.Size = UDim2.new(1, 0, 1, 0)
InvFullLabel.BackgroundTransparency = 1
InvFullLabel.Text = "⚠ Inventory Full"
InvFullLabel.TextColor3 = Color3.fromRGB(255, 180, 50)
InvFullLabel.TextSize = 12
InvFullLabel.Font = Enum.Font.GothamBold
InvFullLabel.ZIndex = 101
InvFullLabel.Parent = InvFullFrame

-- Auto Peek indicator
local AutoPeekIndicator = Instance.new("Frame")
AutoPeekIndicator.Size = UDim2.new(0, 120, 0, 30)
AutoPeekIndicator.Position = UDim2.new(0.5, -60, 0.7, 0)
AutoPeekIndicator.BackgroundColor3 = Color3.fromRGB(15, 8, 30)
AutoPeekIndicator.BackgroundTransparency = 0.3
AutoPeekIndicator.BorderSizePixel = 0
AutoPeekIndicator.Visible = false
AutoPeekIndicator.ZIndex = 100
AutoPeekIndicator.Parent = ScreenGui
Instance.new("UICorner", AutoPeekIndicator).CornerRadius = UDim.new(0, 6)
Instance.new("UIStroke", AutoPeekIndicator).Color = Color3.fromRGB(80, 255, 200)
local APLabel = Instance.new("TextLabel")
APLabel.Size = UDim2.new(1, 0, 1, 0)
APLabel.BackgroundTransparency = 1
APLabel.Text = "🎯 AUTO PEEK"
APLabel.TextColor3 = Color3.fromRGB(80, 255, 200)
APLabel.TextSize = 12
APLabel.Font = Enum.Font.GothamBold
APLabel.ZIndex = 101
APLabel.Parent = AutoPeekIndicator

-- Tool ESP data
local ToolESPData = {}

-- Damage Text
local DamageTextContainer = Instance.new("Frame")
DamageTextContainer.Size = UDim2.new(1, 0, 1, 0)
DamageTextContainer.BackgroundTransparency = 1
DamageTextContainer.ZIndex = 200
DamageTextContainer.Parent = ScreenGui

local function ShowDamageText(pos, dmg)
    local sp, onScreen = Camera:WorldToViewportPoint(pos)
    if not onScreen then return end
    local lbl = Instance.new("TextLabel")
    lbl.Size = UDim2.new(0, 80, 0, 30)
    lbl.Position = UDim2.new(0, sp.X - 40, 0, sp.Y - 15)
    lbl.BackgroundTransparency = 1
    lbl.Text = "-" .. tostring(dmg)
    lbl.TextColor3 = C3(Settings.DamageTextColor)
    lbl.TextSize = 18
    lbl.Font = Enum.Font.GothamBold
    lbl.TextStrokeTransparency = 0
    lbl.ZIndex = 201
    lbl.Parent = DamageTextContainer
    TweenService:Create(lbl, TweenInfo.new(1), {
        Position = UDim2.new(0, sp.X - 40, 0, sp.Y - 60),
        TextTransparency = 1,
        TextStrokeTransparency = 1
    }):Play()
    task.delay(1.1, function() lbl:Destroy() end)
end

-- Health tracking
local HealthTracker = {}
local function TrackHealth(player)
    if player == LocalPlayer then return end
    task.spawn(function()
        while player.Parent do
            local ch = player.Character
            if ch then
                local hu = ch:FindFirstChildOfClass("Humanoid")
                if hu then
                    local prev = HealthTracker[player] or hu.Health
                    if hu.Health < prev - 0.5 and Settings.DamageText then
                        local dmg = math.floor(prev - hu.Health)
                        local head = ch:FindFirstChild("Head")
                        if head and dmg > 0 then
                            ShowDamageText(head.Position, dmg)
                        end
                    end
                    HealthTracker[player] = hu.Health
                end
            end
            task.wait(0.1)
        end
    end)
end

for _, p in ipairs(Players:GetPlayers()) do TrackHealth(p) end
Players.PlayerAdded:Connect(TrackHealth)

-- ========== BUILD TAB 1: AIMBOT ==========
local at = TabPages[1]
CreateSection(at, "🎯 CORE", 5)
CreateToggle(at, "Aimbot Enabled", 36, false, function(s) Settings.AimbotEnabled = s end)
CreateDropdown(at, "Hitbox", 70, {"Head", "Chest", "Stomach", "Pelvis", "Body"}, "Head", function(v) Settings.AimbotHitbox = v end)
CreateSlider(at, "FOV Size", 104, 20, 600, 150, function(v) Settings.FOV = v end)
CreateSlider(at, "Smoothness", 154, 0, 20, 5, function(v) Settings.Smoothness = v end)
CreateDropdown(at, "Aim Mode", 204, {"Hold", "Toggle", "Always"}, "Hold", function(v) Settings.AimbotMode = v end)
CreateSection(at, "🎯 MULTIPOINT & CHECKS", 244)
CreateToggle(at, "Multipoint Hitbox", 275, false, function(s) Settings.AimbotMultipoint = s end)
CreateSlider(at, "Multipoint Scale", 309, 0, 100, 50, function(v) Settings.AimbotMultipointScale = v end)
CreateToggle(at, "Team Check", 359, false, function(s) Settings.TeamCheck = s end)
CreateToggle(at, "Wall Check", 393, false, function(s) Settings.WallCheck = s end)
CreateSection(at, "🩸 BAIM", 433)
CreateToggle(at, "Baim Enabled", 464, false, function(s) Settings.BaimEnabled = s end)
CreateSlider(at, "Baim After X Misses", 498, 0, 10, 0, function(v) Settings.BaimAfterMisses = v end)
CreateToggle(at, "Baim in Air", 548, false, function(s) Settings.BaimInAir = s end)
CreateSection(at, "👁 FOV CIRCLE", 588)
CreateToggle(at, "Show FOV Circle", 619, true, function(s) Settings.ShowFOV = s end)
at.CanvasSize = UDim2.new(0, 0, 0, 665)

-- ========== BUILD TAB 2: CROSSHAIR (NEW SEPARATE TAB) ==========
local crt = TabPages[2]
CreateSection(crt, "✛ CROSSHAIR TYPE", 5)
CreateDropdown(crt, "Crosshair Shape", 36, {"Heart", "Hexagon", "Star", "Square", "Dot"}, "Heart", function(v)
    Settings.CrosshairType = v
    RebuildCrosshair()
end)
CreateToggle(crt, "Show Crosshair", 70, true, function(s) Settings.ShowCrosshair = s end)
CreateSection(crt, "📏 SIZE & THICKNESS", 110)
CreateSlider(crt, "Size (%)", 141, 10, 400, 100, function(v) Settings.CrosshairSize = v end)
CreateSlider(crt, "Thickness (%)", 191, 10, 500, 100, function(v) Settings.CrosshairThickness = v end)
CreateSlider(crt, "Opacity (%)", 241, 0, 100, 100, function(v) Settings.CrosshairOpacity = v end)
CreateSection(crt, "🔄 ROTATION", 291)
CreateToggle(crt, "Rotate Crosshair", 322, true, function(s) Settings.CrosshairRotation = s end)
CreateSlider(crt, "Rotation Speed", 356, 0, 500, 85, function(v) Settings.CrosshairRotSpeed = v end)
CreateSection(crt, "🎨 COLOR & OUTLINE", 406)
CreateColorPicker(crt, "Crosshair Color", 437, Settings.CrosshairColor, function(v) Settings.CrosshairColor = v end)
CreateToggle(crt, "Outline", 471, true, function(s) Settings.CrosshairOutline = s; RebuildCrosshair() end)
CreateColorPicker(crt, "Outline Color", 505, Settings.CrosshairOutlineColor, function(v) Settings.CrosshairOutlineColor = v end)
CreateSection(crt, "⚙ EXTRA", 545)
CreateSlider(crt, "Center Gap", 576, 0, 30, 0, function(v) Settings.CrosshairGap = v end)
CreateSlider(crt, "Dot Size (for Dot type)", 626, 1, 20, 4, function(v) Settings.CrosshairDotSize = v end)
CreateLabel(crt, "💡 Heart: Dots | Hexagon/Star: Lines | Square: Dots | Dot: Single", 10, 676, 500, 20, 10, Color3.fromRGB(180, 180, 220))
crt.CanvasSize = UDim2.new(0, 0, 0, 710)

-- ========== BUILD TAB 3: ANTI-AIM ==========
local aa = TabPages[3]
CreateSection(aa, "🔄 CORE", 5)
CreateToggle(aa, "Anti-Aim Enabled", 36, false, function(s)
    Settings.AntiAimEnabled = s
    if not s then
        local ch2 = LocalPlayer.Character
        if ch2 then
            local h = ch2:FindFirstChildOfClass("Humanoid")
            if h then h.AutoRotate = true end
        end
    end
end)
CreateSection(aa, "🌀 YAW", 76)
CreateDropdown(aa, "Yaw Mode", 107, {"Spin", "Backwards", "Jitter", "Random", "Custom", "None"}, "Spin", function(v) Settings.YawMode = v end)
CreateSlider(aa, "Spin Speed", 141, 1, 30, 5, function(v) Settings.SpinSpeed = v end)
CreateSlider(aa, "Yaw Offset (°)", 191, -180, 180, 0, function(v) Settings.YawOffset = v end)
CreateSlider(aa, "Jitter Range (°)", 241, 0, 180, 45, function(v) Settings.YawJitterRange = v end)
CreateSection(aa, "📐 PITCH & EXTRAS", 291)
CreateDropdown(aa, "Pitch Mode", 322, {"None", "Down", "Up", "Zero", "Fake Down"}, "None", function(v) Settings.PitchMode = v end)
CreateSlider(aa, "Roll (°)", 362, -50, 50, 0, function(v) Settings.RollAngle = v end)
CreateDropdown(aa, "Manual AA", 412, {"None", "Left", "Right", "Back", "Front"}, "None", function(v) Settings.ManualAA = v end)
CreateToggle(aa, "Inverter", 446, false, function(s) Settings.InverterActive = s end)
CreateToggle(aa, "Freestanding", 480, false, function(s) Settings.Freestanding = s end)
aa.CanvasSize = UDim2.new(0, 0, 0, 520)

-- ========== BUILD TAB 4: ESP ==========
local et = TabPages[4]
CreateSection(et, "👁 ESP MAIN", 5)
CreateToggle(et, "ESP Enabled", 36, false, function(s) Settings.ESPEnabled = s end)
CreateDropdown(et, "Box Style", 70, {"2D", "3D", "Corner"}, "2D", function(v) Settings.ESPBoxStyle = v end)
CreateToggle(et, "Boxes", 104, true, function(s) Settings.ESPBoxes = s end)
CreateToggle(et, "Names", 138, true, function(s) Settings.ESPNames = s end)
CreateToggle(et, "Health Bar", 172, true, function(s) Settings.ESPHealth = s end)
CreateToggle(et, "Distance", 206, false, function(s) Settings.ESPDistance = s end)
CreateToggle(et, "Weapon ESP", 240, false, function(s) Settings.ESPWeapon = s end)
CreateToggle(et, "Skeleton", 274, false, function(s) Settings.ESPSkeleton = s end)
CreateToggle(et, "Snap Lines", 308, false, function(s) Settings.ESPSnapLines = s end)
CreateToggle(et, "Tracers", 342, false, function(s) Settings.ESPTracers = s end)
CreateToggle(et, "Dormant ESP", 376, false, function(s) Settings.ESPDormant = s end)
CreateSection(et, "✨ CHAMS & GLOW", 416)
CreateToggle(et, "Chams Enabled", 447, false, function(s) Settings.ChamsEnabled = s; RefreshChams() end)
CreateDropdown(et, "Chams Mode", 481, {"Visible", "Invisible", "Wall"}, "Visible", function(v) Settings.ChamsMode = v; RefreshChams() end)
CreateToggle(et, "Glow Effect", 515, false, function(s) Settings.GlowEnabled = s; RefreshChams() end)
CreateSection(et, "📡 RADAR", 555)
CreateToggle(et, "Radar Enabled", 586, false, function(s) Settings.RadarEnabled = s; RadarFrame.Visible = s end)
CreateSlider(et, "Radar Zoom", 620, 20, 200, 50, function(v) Settings.RadarZoom = v end)
et.CanvasSize = UDim2.new(0, 0, 0, 680)

-- ========== BUILD TAB 5: VISUALS ==========
local vt = TabPages[5]
CreateSection(vt, "🎥 CAMERA", 5)
CreateSlider(vt, "Camera FOV", 36, 30, 120, 70, function(v) Settings.CameraFOV = v; ApplyWorldSettings() end)
CreateToggle(vt, "Third Person", 86, false, function(s) Settings.ThirdPerson = s; ApplyWorldSettings() end)
CreateSlider(vt, "Third Person Zoom", 120, 5, 40, 15, function(v) Settings.ThirdPersonZoom = v; ApplyWorldSettings() end)
CreateSection(vt, "🌟 VISUALS", 170)
CreateToggle(vt, "Full Bright", 201, false, function(s)
    Settings.FullBright = s
    if s then Settings.NightMode = false end
    ApplyWorldSettings()
end)
CreateToggle(vt, "Night Mode", 235, false, function(s)
    Settings.NightMode = s
    if s then Settings.FullBright = false end
    ApplyWorldSettings()
end)
CreateToggle(vt, "Remove Visual Recoil", 269, false, function(s) Settings.RemoveVisualRecoil = s end)
vt.CanvasSize = UDim2.new(0, 0, 0, 320)

-- ========== BUILD TAB 6: WORLD ==========
local wt = TabPages[6]
CreateSection(wt, "🌅 LIGHTING", 5)
CreateColorPicker(wt, "Sky Color", 36, Settings.WorldSkyColor, function(v) Settings.WorldSkyColor = v; ApplyWorldSettings() end)
CreateColorPicker(wt, "Ambient", 70, Settings.WorldAmbient, function(v) Settings.WorldAmbient = v; ApplyWorldSettings() end)
CreateSlider(wt, "Brightness", 104, 0, 5, 1, function(v) Settings.WorldBrightness = v; ApplyWorldSettings() end)
CreateSection(wt, "🌫 FOG", 154)
CreateToggle(wt, "Fog Enabled", 185, false, function(s) Settings.WorldFog = s; ApplyWorldSettings() end)
CreateColorPicker(wt, "Fog Color", 219, Settings.WorldFogColor, function(v) Settings.WorldFogColor = v; ApplyWorldSettings() end)
CreateSlider(wt, "Fog Start", 253, 0, 1000, 0, function(v) Settings.WorldFogStart = v; ApplyWorldSettings() end)
CreateSlider(wt, "Fog End", 303, 100, 5000, 1000, function(v) Settings.WorldFogEnd = v; ApplyWorldSettings() end)
CreateButton(wt, "🔄 Reset World", 355, function() ResetWorld(); Notify("✅ World Reset!") end)
wt.CanvasSize = UDim2.new(0, 0, 0, 400)

-- ========== BUILD TAB 7: WEATHER ==========
local wet = TabPages[7]
CreateSection(wet, "⛅ WEATHER", 5)
CreateToggle(wet, "Weather Enabled", 36, false, function(s)
    Settings.WeatherEnabled = s
    if s then InitWeather() else ClearWeather() end
end)
CreateDropdown(wet, "Weather Type", 70, {"None", "Snow", "Rain", "Lightning"}, "None", function(v)
    Settings.WeatherType = v
    if Settings.WeatherEnabled then InitWeather() end
end)
CreateSlider(wet, "Intensity", 104, 10, 200, 50, function(v)
    Settings.WeatherIntensity = v
    if Settings.WeatherEnabled then InitWeather() end
end)
CreateSection(wet, "✨ GUI PARTICLES", 154)
CreateSlider(wet, "Particle Speed", 185, 1, 20, 5, function(v) Settings.ParticleSpeed = v end)
CreateSlider(wet, "Particle Count", 235, 10, 200, 60, function(v) Settings.ParticleCount = v; RebuildParticles() end)
CreateDropdown(wet, "Particle Color", 285, {"Rainbow", "Purple", "Custom"}, "Rainbow", function(v) Settings.ParticleColor = v; RebuildParticles() end)
wet.CanvasSize = UDim2.new(0, 0, 0, 330)

-- ========== BUILD TAB 8: MOVEMENT ==========
local mt = TabPages[8]
CreateSection(mt, "🏃 MOVEMENT", 5)
CreateToggle(mt, "Wall Jump", 36, false, function(s) Settings.WallJump = s end)
CreateToggle(mt, "Bunny Hop", 70, false, function(s) Settings.BunnyHop = s end)
CreateToggle(mt, "Infinity Jump", 104, false, function(s) Settings.InfinityJump = s end)
CreateToggle(mt, "Jump Bug", 138, false, function(s) Settings.JumpBug = s end)
CreateToggle(mt, "Circle Strafe", 172, false, function(s) Settings.CircleStrafe = s end)
CreateToggle(mt, "Strafe in Air", 206, false, function(s) Settings.StrafeInAir = s end)
CreateToggle(mt, "Quick Stop", 240, false, function(s) Settings.QuickStop = s end)
CreateSection(mt, "⚡ SPEED", 280)
CreateToggle(mt, "Walk Speed Boost", 311, false, function(s)
    Settings.WalkSpeedBoost = s
    local ch2 = LocalPlayer.Character
    if ch2 then
        local hu = ch2:FindFirstChildOfClass("Humanoid")
        if hu then hu.WalkSpeed = s and Settings.WalkSpeedValue or 16 end
    end
end)
CreateSlider(mt, "Walk Speed", 345, 16, 200, 16, function(v)
    Settings.WalkSpeedValue = v
    if Settings.WalkSpeedBoost then
        local ch2 = LocalPlayer.Character
        if ch2 then
            local hu = ch2:FindFirstChildOfClass("Humanoid")
            if hu then hu.WalkSpeed = v end
        end
    end
end)
CreateToggle(mt, "Jump Power Boost", 395, false, function(s)
    Settings.JumpPowerBoost = s
    local ch2 = LocalPlayer.Character
    if ch2 then
        local hu = ch2:FindFirstChildOfClass("Humanoid")
        if hu then hu.JumpPower = s and Settings.JumpPowerValue or 50 end
    end
end)
CreateSlider(mt, "Jump Power", 429, 50, 300, 50, function(v)
    Settings.JumpPowerValue = v
    if Settings.JumpPowerBoost then
        local ch2 = LocalPlayer.Character
        if ch2 then
            local hu = ch2:FindFirstChildOfClass("Humanoid")
            if hu then hu.JumpPower = v end
        end
    end
end)
CreateLabel(mt, "⚠ Movement hacks may cause detection", 10, 485, 400, 20, 10, Color3.fromRGB(255, 180, 100))
mt.CanvasSize = UDim2.new(0, 0, 0, 520)

-- ========== BUILD TAB 9: EXTRA ==========
local ext = TabPages[9]
CreateSection(ext, "🛠 EXTRA FEATURES", 5)
CreateToggle(ext, "Disable Console", 36, false, function(s) Settings.DisableConsole = s end)
CreateToggle(ext, "Disable Server Ads", 70, false, function(s) Settings.DisableServerAds = s end)
CreateToggle(ext, "Bypass Anti Cheat", 104, false, function(s) Settings.BypassAntiCheat = s end)
CreateToggle(ext, "Show FPS", 138, false, function(s)
    Settings.ShowFPS = s
    StatsHUD.Visible = s or Settings.ShowMS or Settings.FakePing
end)
CreateToggle(ext, "Fake Ping", 172, false, function(s)
    Settings.FakePing = s
    StatsHUD.Visible = Settings.ShowFPS or Settings.ShowMS or s
end)
CreateSlider(ext, "Fake Ping Value", 206, 1, 9999, 999, function(v) Settings.FakePingValue = v end)
CreateToggle(ext, "Show MS", 256, false, function(s)
    Settings.ShowMS = s
    StatsHUD.Visible = Settings.ShowFPS or s or Settings.FakePing
end)
CreateToggle(ext, "Show Player FPS (ESP)", 290, false, function(s) Settings.ShowPlayerFPS = s end)
CreateToggle(ext, "Show Player MS (ESP)", 324, false, function(s) Settings.ShowPlayerMS = s end)
CreateToggle(ext, "Auto Peek", 358, false, function(s)
    Settings.AutoPeek = s
    AutoPeekIndicator.Visible = s
end)
CreateLabel(ext, "⚠ Extra features may cause detection", 10, 405, 400, 20, 10, Color3.fromRGB(255, 180, 100))
ext.CanvasSize = UDim2.new(0, 0, 0, 445)

-- ========== BUILD TAB 10: INVENTORY ==========
local inv = TabPages[10]
CreateSection(inv, "🎒 TOOL ESP", 5)
CreateToggle(inv, "Tool ESP", 36, false, function(s) Settings.ToolESP = s end)
CreateColorPicker(inv, "Tool ESP Color", 70, Settings.ToolESPColor, function(v) Settings.ToolESPColor = v end)
CreateToggle(inv, "Show Tool Name", 104, false, function(s) Settings.ToolESPName = s end)
CreateColorPicker(inv, "Tool Name Color", 138, Settings.ToolESPNameColor, function(v) Settings.ToolESPNameColor = v end)
CreateSection(inv, "🗑 INVENTORY ACTIONS", 178)
CreateButton(inv, "🗑 Remove All Items", 209, function()
    local ch2 = LocalPlayer.Character
    local bp = LocalPlayer:FindFirstChild("Backpack")
    local removed = 0
    if ch2 then
        for _, t in ipairs(ch2:GetChildren()) do
            if t:IsA("Tool") then t:Destroy(); removed = removed + 1 end
        end
    end
    if bp then
        for _, t in ipairs(bp:GetChildren()) do
            if t:IsA("Tool") then t:Destroy(); removed = removed + 1 end
        end
    end
    Notify("🗑 Removed " .. removed .. " items!")
end)
CreateButton(inv, "📋 List Inventory", 249, function()
    local bp = LocalPlayer:FindFirstChild("Backpack")
    if bp then
        local list = {}
        for _, t in ipairs(bp:GetChildren()) do table.insert(list, t.Name) end
        Notify("🎒 Items: " .. #list)
    end
end)
inv.CanvasSize = UDim2.new(0, 0, 0, 300)

-- ========== BUILD TAB 11: INDICATOR ==========
local ind = TabPages[11]
CreateSection(ind, "📊 INDICATORS", 5)
CreateToggle(ind, "Teleport Cooldown", 36, false, function(s)
    Settings.TeleportCooldownInd = s
    TPCooldownFrame.Visible = s
end)
CreateToggle(ind, "Inventory Full Warning", 70, false, function(s) Settings.InventoryFullWarning = s end)
CreateToggle(ind, "Compass", 104, false, function(s)
    Settings.Compass = s
    CompassFrame.Visible = s
end)
CreateToggle(ind, "Nearby Loot", 138, false, function(s) Settings.NearbyLoot = s end)
CreateSection(ind, "💥 DAMAGE TEXT", 178)
CreateToggle(ind, "Damage Text", 209, false, function(s) Settings.DamageText = s end)
CreateColorPicker(ind, "Damage Text Color", 243, Settings.DamageTextColor, function(v) Settings.DamageTextColor = v end)
CreateSection(ind, "⚠ NEARBY ENEMY", 283)
CreateToggle(ind, "Nearby Enemy Alert", 314, false, function(s)
    Settings.NearbyEnemy = s
    if not s then NearbyAlert.Visible = false end
end)
CreateColorPicker(ind, "Alert Color", 348, Settings.NearbyEnemyColor, function(v)
    Settings.NearbyEnemyColor = v
    NearbyStroke.Color = C3(v)
    NearbyLabel.TextColor3 = C3(v)
end)
ind.CanvasSize = UDim2.new(0, 0, 0, 400)

-- ========== BUILD TAB 12: COLORS ==========
local clr = TabPages[12]
CreateSection(clr, "🎨 COLORS", 5)
CreateColorPicker(clr, "FOV Circle", 36, Settings.FOVColor, function(v) Settings.FOVColor = v end)
CreateColorPicker(clr, "ESP Color", 70, Settings.ESPColor, function(v) Settings.ESPColor = v end)
CreateColorPicker(clr, "Crosshair", 104, Settings.CrosshairColor, function(v) Settings.CrosshairColor = v end)
CreateColorPicker(clr, "Chams Fill", 138, Settings.ChamsColor, function(v) Settings.ChamsColor = v; UpdateChamsColor() end)
CreateColorPicker(clr, "Chams Outline", 172, Settings.ChamsOutlineColor, function(v) Settings.ChamsOutlineColor = v; UpdateChamsColor() end)
CreateColorPicker(clr, "Glow Color", 206, Settings.GlowColor, function(v) Settings.GlowColor = v; UpdateChamsColor() end)
